label,tweet
fear,[USERNAME] [USERNAME] Afraid of caterpillars too??
sadness,"[USERNAME] [USERNAME] So being the majority is also the result of coercion, not of one's own will. It is true that many are forced to appear to be the majority. If you don't want to be the majority, then it will be made difficult [URL]"
sadness,"[USERNAME] [USERNAME] [USERNAME] Why is it sad reading this? How are you mothers who only focus on taking care of their children and worship, money is tight so there is no budget even to buy powder, your body is flabby because you finish eating your children because it's a shame if the money is thrown away. Don't deserve to be loved by your husband"
happy,"I've taken a shower, bro, I've been soaking in the water so the smell doesn't disappear until the afternoon :D"
anger,The government's decision to issue GJ 13 and THR was greeted with joy by civil servants and pensioners. Observers should not provoke. [URL]
anger,[USERNAME] I'm disappointed with Akulaku.. I've registered for 4 days but it hasn't been approved.. CS said to use a new number.. it still hasn't been approved.. today I changed my number 3 times and it still hasn't been approved.. has it been closed for new customers??
happy,"I want to create an image, if someone asks in the batch group, I will answer even though I don't know, hahaha, so don't worry, my friends who are lazy to ask something in the batch group because they are afraid of being ignored if no one answers, I will definitely answer."
sadness,"And just now, I brought this up. It wasn't a big deal, I was just letting out my frustrations. And he just kept quiet because he couldn't do anything anymore. It was a shame, he felt guilty. Even though he couldn't do anything anyway. It's not like he wanted to be this busy."
happy,"[USERNAME] [USERNAME] [USERNAME] Thank you for laughing, may it be a good deed in this holy month, and can make fellow servants laugh happily."
anger,This person must be imprisoned. [USERNAME] must be reported..this is a divisive person
sadness,Dieng farmers suffer losses due to bun upas - maybe the cooperation between BMKG and the Department of Agriculture for special areas such as Dieng should be tightened so that there is early warning of bun upas - is that possible? [USERNAME]
happy,"SO CUTE. I really like seeing the greeting, so cute. Come on, get closer to me, honey! Oh yeah, don't forget to share the chikin with me, tq tq."
anger,"Well, aren't you a perverted priest who is being defended by 7 million idiots? Can you imagine how stupid a person like you is that you are afraid of not going to heaven?"
fear,the latest news from timi. he doesn't dare to go home and sleeps in the mosque porch. traumatized by being abandoned by his owner.
love,"Even though his body is gone, honestly he is one of the people who makes Mas Tyoo curious in his life. WHY? Because I have never seen this Big Brother on television, unlike Mr. Soeharto. However.. The RED AND WHITE flag that always flies is one of the REAL proofs of BUNG BESAR'S STRUGGLE"
sadness,"I don't know about entering Akpol because my father never told me. But my cousin's girlfriend has been trying to enter for 3 years and was accepted this year, even though her father is a police officer, it was still difficult for her to get in."
happy,"This is just the Professor's thoughts, even though he is still junior compared to Professor Cebong Anu, this one is more qualified and has dedication [URL]"
anger,"No need to think too far about who your leader will be tomorrow, think about what to eat for sahur first. If you still hope to get takjil for sahur on the road, definitely don't need to be too loud about changing leaders xixixi"
