label,tweet
love,"Maybe when you were little, it was your mother who often told you stories or fairy tales. But did you know that when your father came home from work and with a tired face, he always asked your mother how you were and what you did all day."
happy,first bukber with loved ones... [username] [username] [username] [username] syngx lacking [username] and [username]
fear,"so it's kind of a motivation to really want to supervise the election by becoming a polling station supervisor. monitor the votes, don't let there be any cheating. especially since the regional election in Tmarahang is very vulnerable. because yeah, there's only one candidate................."
sadness,"Many days I sleep at 1 hour and 2 straight. It seems like I just can't fall asleep quickly, I don't know why, even though I'm tired, I can't sleep when I'm tired"
happy,"Mas Metal, the program from [username] and [username] makes today's youth into creative and open youth [username]"
love,"When you have a cold, Dad is always worried and sometimes even snaps at you, saying, ""I told you! Don't drink cold water,"" unlike Mom who pays attention and advises you gently, ""You know, Dad is really worried about you."""
anger,"If a business has eaten up household money and continues to erode, it should have stopped and looked for another business, or looked for another idea. or reduced operational costs. for example, selling online first. The kingdom could be finished if household money was combined with business money."
happy,"mission bro, I'm busking 'you make me feel the beauty of falling in love, the beauty of being loved when you are mine, thank you, if you don't have change, it's okay to use love, bro [username] [url]"
anger,"[username] didn't I offer myself to you since 2016/2017, when you were still working as a Honda car sales force and even moved to Suzuki, you offered yourself to me, but instead you blocked my WhatsApp."
anger,"gurl, just because he published his sexual harassment chat which you think is cheesy, trying to get carried away, you even brought up his past, are you fucking kidding me? no wonder there are so many people in Indonesia who experience sexual harassment who prefer to stay silent, how come there are still so many netizens like you."
anger,"People's total money is almost 600 million. The one who owes money has no brains... he was charged with pretending to be dead, someone died first, his son was begging and confused about how to pay it back, he was still in college. I was asked to wait for him to go to college, then work, until I have grandchildren, then the debt will probably be paid off"
anger,"bpip has no importance. bpip only gives a place to national figures. a place of honor. bpip is not important. Turn on morals lessons, Civics and PMP. Enough for tomorrow's provisions. [username] [url]"
fear,"what's the dare? ""if one of them leaves, the other one has to be able to make him/her not leave. if later he/she doesn't love him/her anymore, well who knows, he/she has to be able to love him/her more. okay, after this, don't play true or dare anymore. dangerous"" :)"
happy,"keep making people happy? when will you be happy, yu? yes. i am happy that way. as long as other people are happy, especially because of me, my happiness will be doubled :)"
love,for me love is about a comfortable and calm heart where you feel comfort and calm means you are in an environment of love and affection. #love #affection #affection
sadness,"Souma is finished, Yowamushi is finished. Now I'm watching an anime that I downloaded a long time ago but haven't watched at all. I'm really bored with Korean dramas"
happy,"[username] Good afternoon, postal friends. Sorry for the late reply. The shipment has been received, my friend. Thank you for trusting and using our services :) ^fd"
sadness,"[username] :( come home from school and throw a mouthful then just 10,000 meatballs is enough, in the past it was as simple as that... it's a waste of social assistance... the ig era has become such a great event, you're making teenagers' brains unhealthy"
sadness,There were high school students who had just finished their farewell or some kind of school graduation. They took a photo with their friends and peers wearing kebaya and then posted it on IG with the caption 'who will get married first'. I immediately looked down in dejection and wanted to drink extra joss. Cuk.
happy,Tenganan Festival is a leading tourism festival in Karangasem which has the tagline #karangasemthespiritofbali because it promises the uniqueness of noble cultural traditions with a live event of the world-famous pandan war tradition.
sadness,"then i moved to thamrin, right? because i was bored with tanabang where the clothes were the same, i felt bad. eh i went to thamrin in the basement, it was filled with lots of batik."
anger,"[username] I'm not in the queue, but I'm waiting for the vice dean of academics' signature. Oh my God. Not to mention that the elements we're dealing with have arrived. Especially since this is the fasting month, I'm late to go home early, hmmm."
anger,"greedy human mother, minister and advocate were robbed too, knew many state secrets when in the palace with the New Order, real bandits"
love,"The world is increasingly filled with challenges that cause stress.. but actually the most effective medicine when anxiety strikes is to call your parents and say ""pray for me"" then the best answer is when they say: ..."
happy,"special thanks for you,... still consider me as a little brother, never once hurt me, still respect me for what I do..."
fear,"Honestly, I'm really scared to do this again, it's getting closer, I'm afraid I'm going to cry, I don't know why I'm so scared, I'm wondering whether I can do it or not, can I do it or not, should I just back off, is this the best way for me? I"
love,"love will always open the door to forgiveness when you make a mistake, love will be a lantern when the world becomes dark, guard love until your eyes finally fall asleep."
fear,"It was almost Maghrib and the driver said that he had a really bad feeling after I chartered the car, he dreamed of an accident, and things like that. And he was really afraid that something would happen, basically I wouldn't be picked up, which would be a bother and embarrassing, because he wasn't even smart enough to book a travel agency."
sadness,"keep up the spirit, sis Hani, I hope your father gets his karma soon. keep praying diligently, studying the Koran, and also praying, while it's the month of Ramadan, people like you will definitely have their prayers answered by Allah soon, aamiin yaallah [username]"
fear,"why are you so paranoid? I'm already big. I'm still afraid of sitting like that. imagine. Just now I dared to go to the bathroom while still having trouble while imagining the scary guy. there's a sound that I'm actually so weak that I get goosebumps, even though it's not something strange and immediately annoying"
sadness,inayah_k yes yes ' no need to be sad like that
fear,cracked speech while only seven seconds less red light can't wait to cut it. new fortune throughout jogja and jakarta but mistakes are always relevant if the sound of tik tok somay clashes with pertamina trucks.
anger,"If there is no evidence, it means it is slander. Please [username] follow up on the statement. Don't let it be considered that you are not brave, sir. [url]"
love,"May Allah bless our intentions, dear, make it easy, make it easy, make it smooth, have good intentions, dear, the time will come, so be patient, take rest, amen, O Lord of the Worlds [url]"
anger,"I'm sad, angry, annoyed, and frustrated, sis. Even though it's only been managed by good people for 5 years, in just 5 months it's been destroyed by crazy people."
anger,"then what about the country? they will lose a lot of revenue from cigarette excise. the country's debt will increase. ah, that's just your justification. look at this! how is it? is your opinion still the same? [url]"
happy,"Sharing with friends is really useful. When you feel like your problems are really heavy, it turns out that our friends have bigger problems than us. In fact, our problems are nothing compared to their problems."
fear,"This man is also scary, besides his scary expression, the words that come out are also very sharp. Ah, okay, okay, that's Juvia, just making sure that she's not mistaken"
happy,"When the spirit of fasting begins to fall at the end of the month, then Allah gives us enthusiasm with the night of Lailatu Qadar so that we become more enthusiastic in worshiping Allah's good God, so which of your God's blessings do you deny?"
anger,actually I've started to be disappointed with Pakdhe [username] since the criminalization of the KPK at the beginning of his administration. plus the unresolved Novel Baswedan case.
happy,"Why is it that when you see other people doing it it's scary, but when you do it yourself you're brave? If you see the patient, it's like you can do anything for them. #eaaaaaa"
anger,"Fadli Zon is convinced, ""basically there are no terrorist seeds in Indonesia"". What exists is a group of power-hungry people who always sell ***ga"
love,"Our heavenly father is not sitting idle and waiting for us to be able to pray properly. We can come to him with our every need, because we are confident that he understands and accepts us with love."
happy,"[username] [username] Thank you, Mr. Kwik, that's also my personal opinion, thank you for conveying it to the forum. And the same goes for what was conveyed by Mrs. Sarumpait."
sadness,"valuable lessons from the Palestinian-Israeli civil war. Brothers and sisters must love and care for each other, not kill each other continuously. The third party provocateurs won, not the two warring parties who won. In the name of God they fought."
love,That's how much I love you.. for you who I don't know where you are right now.. always be healthy and happy in God..
anger,"man dear friend. can we get together without cellphones? Why gather together but enjoy yourself, if that's the case, it's better to stay at home and not be bored"
happy,I was buying mrtabak gliran and it was ready but my feet were heavy when I walked. I heard Hayah Mas's song and I felt like it too :p
sadness,"There is news about a pastor who killed his adopted daughter if I'm not mistaken, and the victim was pregnant, and she was raped before being killed, it's really sad."
anger,"[username] [username] please don't bring up the name of young people, bro, if you're still debating with Mr. [username] without using data, let alone being sarcastic. It feels like the millennial generation lacks literature."
fear,"after thinking about it, it's true, there's google maps, right? hnnggg but that's not what I meant. this is to the village, right? I'm afraid I'll get lost and what if I get lost?"
sadness,"Mother's expectations: Don't be so tired that you get sick, okay, take a break, Mother's reality: Sokorr, it's your fault that you're overbearing, it's your fault, Grandma's mother, Ae Angel Eram #recehkantwitter"
fear,"This is it, sis. Nowadays people are having a hobby of digging up old tweets :""( I'm sometimes afraid to speak up just because I think ""are there any tweets I made back in 2009/2010/whatever that time that could offend anyone?"""
happy,[username] be a person who is sure because belief will definitely shake the mindset that is doubtful with many questions in the mindset and soul. read it!!!! in the name of the god who created you [url]
happy,"It's fitting that emiss was looking everywhere, but it's here. Welcome, beautiful! How are your days after choosing a major? I hope you have a nice night!"
happy,"When you have lived in Jakarta for a long time, the people there understand the concept of ""queues"" very well, even without the sign ""please queue"" they already understand that the culture of queuing is everywhere."
love,"If you're being affectionate, then you're very affectionate. If you're being spoiled, then you're very spoiled. If you're being affectionate, then you're very affectionate. If you're being sulky, then you're very cranky. If you're being spoiled, don't ask, guys, he's more affectionate than me."
anger,"[username] I applied for PayLater, but it was rejected with a reason that was not detailed enough. Can you help me with a more specific reason? I think the ID photo and the information I provided are clear enough. What criteria does Traveloka want? [url]"
