Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa di melecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang saya a dan i t a addeh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu tidak merasa dilecehkan amat, malah mau naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita Aduhh, sudah jadi korban, sesama wanita pula. Padahal normalnya harus saling dukung, saling empati.",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa dilecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita aduh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,"What's sad is that there are those who think that Via Vallen doesn't feel that she is being harassed at all and even wants to increase her popularity in order to go viral. And that was expressed by someone like me and I, Addeh, who have become victims of fellow women, even though normally they should support each other and empathize with each other.","What's even sadder is that some people think that Via Vallen doesn't feel that she's being harassed, instead she wants to gain fame in order to go viral and that was expressed by a woman. Oh dear, she's already a victim, and a fellow woman too. Normally, we should support each other and empathize with each other.","What's sad is that there are those who think that Via Vallen doesn't feel harassed at all and even wants to increase her fame in order to go viral and this was expressed by a woman, oh my, she's been a victim of another woman, even though normally we should support each other and empathize with each other."
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya,"Yes, these dogs and humans are overreacting, I'm disgusted by the sight of them","Yes, this dog, humans are so over the top, I'm disgusted when I see it","Yes, these dogs and humans are overreacting, I'm disgusted by the sight of them"
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Samanye are all thieves, aren't they all chumps, dogs or monkeys, haha, one heart is the same as a thief","They're all thieves, aren't they all thieves, or are they dogs, or are they all thieves? Hahahahaha ONE HEART IS EQUAL A THIEF!!!!","they're all thieves, no jackass, no dog, no monkey ghost haha ​​they're all thieves"
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Samanye are all thieves, aren't they all chumps, dogs or monkeys, haha, one heart is the same as a thief","They're all thieves, aren't they all thieves, or are they dogs, or are they all thieves? Hahahahaha ONE HEART IS EQUAL A THIEF!!!!","they're all thieves, no jackass, no dog, no monkey ghost haha ​​they're all thieves"
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,orang berhijab baju natal norak anjing kalian sudah mnyambut di hotel wahai intel setan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang kalian pasang di kamar kerja sama dengan hotel tahi,JILBABER BAJU NATAL NORAK & ANJING-ANJING KALIAN SUDAH MENYAMBUT DI HOTEL WAHAI INTELSETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING!! INI SAJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORANG KEMANA PUN TAEKKKK!! ALAT TEROR BANGSAT LAGI-LAGI KALIAN PASANG DI KAMAR KERJASAMA DENGAN HOTEL TAEK!,orang berhijab baju natal norak anjing anjing kalian sudah menyambut di hotel wahai intelsetan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang sedang kalian pasang di kamar kerja sama dengan hotel tahi,"people in hijabs, tacky Christmas clothes, your dogs have been welcomed at the hotel, oh devil intelligence, apep ahmad tardiyana urbane, this dog is just the pattern of your rotten intelligence, you follow people wherever you go, you bastard terror devices are being installed in the work room together with the shit hotel","TACKY CHRISTMAS CLOTHES JILBABER & YOUR DOGS HAVE WELCOME US AT THE HOTEL OH INTEL DEVIL [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBAN DOG!! THIS IS THE PATTERN OF YOUR ROTTEN INTEL, FOLLOWING PEOPLE EVERYWHERE TAEKKKK!! YOU FUCKING TERROR TOOLS AGAIN, YOU INSTALLED THEM IN THE ROOMS OF THE COLLABORATION WITH THE HOTEL TAEK!","people in hijabs, tacky Christmas clothes, dogs, you guys have welcomed me at the hotel, oh, you devilish intelligence, apep ahmad tardiyana urbane, this dog is just the pattern of your rotten intelligence, you follow people everywhere, tae k, you bastard terror devices are currently being installed in the work room together with the shit hotel"
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh saya dipenuhi ketidak pastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup,"Semoga besok sudah ada pengumuman baik. Ya Allah, amin. Lancarkanlah segalanya benar-benar deh. Judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian. Huhuhu, benar-benar dari berbagai aspek bisa tenang aja ga sih ini hidup.",semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup,"Hopefully tomorrow there will be a good announcement, yes God, amen, let everything run smoothly, really, that's the title, now I'm filled with uncertainty and anticipation, huhuhu, really, from various aspects, can I be calm, this is life?","Hopefully there will be a good announcement tomorrow. Oh God, amen. Make everything go smoothly. The title is now filled with uncertainty and anticipation. Huhuhu, can this life be calm from various aspects?","Hopefully tomorrow there will be a good announcement, yes God, amen, let everything run smoothly, really, the title is now filled with uncertainty and waiting, huhuhu, really, from various aspects, can we just relax, this is life?"
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apa tek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat sama heart,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""apoteker"", ""apotek"", atau ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lebih senang kamu panggil ""sayang"", it warms my heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apoteker apotek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat my heart,"If a doctor is called doc, if a nurse is called sus, well if a pharmacist is called tek or ker, I'm also confused, personally I prefer you to call me darling, that's warm and hearty","if the doctor is called ""doc"" - if the nurse is called ""sus"" - what about the pharmacist? ""pharmacist"", ""pharmacy"", or ""ker""?. Yes, I'm confused too. I personally prefer you to be called ""darling"", it warms my heart","If a doctor is called doc, if a nurse is called sus, well if a pharmacist is called pharmacist or ker, I'm also confused, personally I prefer you to call me darling, that warms my heart"
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,kita semua mengaturkan kesuwun yang se tinggi nya kepada pak jokowi dan kabinet dengan kinerja yang super sangat untuk kemakmuran rakyat,Kita semua mengucapkan terima kasih yang setinggi-tingginya kepada Pak Jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat.,kita semua mengucapkan terima kasih yang setinggi tingginya kepada pak jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat,we all give the highest level of respect to Mr Jokowi and the cabinet with super performance for the prosperity of the people,We all express our highest gratitude to Mr. Jokowi and the cabinet for their excellent performance for the prosperity of the people.,We all express our highest gratitude to Mr. Jokowi and the cabinet for their excellent performance for the prosperity of the people.
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yang terlibat aksi penyelamatan. Benar-benar Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue,hope someday it will be filmed like the title maybe the coach kids and everyone involved in the rescue action really faith this humanity restored moved thaicaverescue,"Hope someday it will be made into a movie like ""The 33"". Titled ""The 13"" maybe. The coach, kids, and everyone involved in the rescue. Truly Faith In Humanity Restored. Touched. #ThaiCaveRescue [URL]",hope someday it will be filmed like the title maybe the coach kids and everyone involved in the rescue action really faith this humanity restored moved thaicaverescue
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakarkomunikasi neniyulianita dari ani dan teman teman akademisi selamat milad fikom_unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas,"Untuk para sahabat dan guru pakar komunikasi Neni Yulianita dari Ani dan teman-teman akademisi ""Selamat Milad FIKOM UNISBA ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakar komunikasi neni yulianita dari ani dan teman teman akademisi selamat milad fakultas ilmu komunikasi unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas,"For friends and communication expert teachers Neniyulianita from Ani and academic friends, happy birthday to Fikom_Unisba, may the graduates of the Faculty of Communication Sciences Unisba be of increasingly high quality.","For friends and communication expert teachers Neni Yulianita from Ani and academic friends ""Happy 35th Anniversary of FIKOM UNISBA"" may FIKOM UNISBA graduates be of increasingly high quality","For friends and communication expert teachers Neni Yulianita from Ani and academic friends, happy birthday to the Faculty of Communication Sciences, Unisba. May the graduates of the Faculty of Communication Sciences, Unisba, be of increasing quality."
