Label,Raw_tweet,Cleaned_GPT+Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa dilecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita aduh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,orang berhijab baju natal norak anjing anjing kalian sudah menyambut di hotel wahai intelsetan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang sedang kalian pasang di kamar kerja sama dengan hotel tahi
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apoteker apotek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat my heart
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,kita semua mengucapkan terima kasih yang setinggi tingginya kepada pak jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakar komunikasi neni yulianita dari ani dan teman teman akademisi selamat milad fakultas ilmu komunikasi unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas
sadness,"Gegara td malem treak treak gemash ngliat indo kalah 2-1 sm thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yg nonton td mlm ngacung coba? Kalean tim mana nih?",gegara tadi malam teriak teriak gemas melihat indonesia kalah sama thailand di kandang sendiri kini tenggorokan meminta digaruk _________ yang menonton tadi malam ngacung coba kalian tim mana nih
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jd gak fair. Siapa yg merasa gak fair, ya pmlik mbl yg pas parkir di situ, terus ditindak. Kitu sanes...??",tetapi angin anginan sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mobil yang pas parkir di situ terus ditindak kitu sanes
happy,"Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee , so sekarang saatnya off , sampai ketemu akhir bulan ya di Balikpapan dan Denpasar... GBU all",terima kasih iya buat kakak di jakarta dan surabaya yang sudah meluangkan waktunya untuk meetup hehe jadi sekarang saatnya pulang sampai jumpa akhir bulan di balikpapan dan denpasar tuhan memberkati all
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang",sedang mengoceh soal artis xx yang di follow masuk iya mengoceh sedikit teman kerja saya komentar tertawa kasihan iya kamu beli tiket mahal cuma bersalaman tidak di followback i was like _________ pfftt malas bicara dengan orang goblok memang
sadness,"Yang saya lakukan ketika mikir keras : 1. Mantengin leptop berharap dapat ide. Buntu. 2. Nyetel musik berharap merilekskan otak, biar ada inspirasi. Buntu. 3. Glibag-glibug di kasur, merenung sambil meluk bantal. Kemudian ketiduran.",yang saya lakukan ketika pikir keras adalah mantengin laptop berharap dapat ide buntu mendengarkan musik berharap bisa merilekskan otak biar ada inspirasi buntu bergelimpangan di kasur merenung sambil memeluk bantal kemudian ketiduran
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,sama nya sudah jangan ganti ganti saja kali iya menyiksa batin sangat axis disini
happy,oke (y) cek fav ka :),oke iya cek favorit kakak
sadness,Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari smp entahlah sampai sekarang. dari yg pertama rame sekali twitter sampai hampa gt. tl sepe bgt hufth..kek hati saya gt. *eaaaaa hahahaha #HariJadiTwitterSaya [URL],ingat saat kalian bergabung dengan twitter saya ingat dari Sekolah Menengah Pertama entahlah sampai sekarang dari yang pertama ramai sekali twitter sampai hampa begitu tl sepi sekali mengeluh mirip hati saya begitu eaa hahahaha harijaditwittersaya
anger,kamu yang alay yah -_- kamu sih 4lay ih akoh molo sih seble :]x bagaikan menyiram luka pakai air,kamu yang norak iya _ kamu itu norak banget saya bahkan jadi kesal deh bagaikan menyiram luka dengan air
happy,"sebenernya awal gua naksir yg coklat, tp wkt itu stock kosong T^T krn w kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yg ada stocknya aja.. akhirnya w berjodoh dengan ""STEEL""",sebenarnya awal saya menaksir yang coklat tetapi waktu itu stock kosong karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya saja akhirnya saya berjodoh dengan baja
fear,"Berat badanku 77kg, aku minder, aku takut di bully, aku takut mereka yg bilang cantik itu langsing bukan C A N T I K Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]",berat badanku kilogram saya minder saya takut di rundung saya takut mereka yang bilang cantik itu langsing bukan cantik saya juga takut dibilang gapura kecamatan janganbullyaku
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c",jalan tol ia sungguh sedih mengingat kejadian kejadian di kehidupannya tidak kuat menahan sedih dirinya mencoba mengakhiri hidupnya sambil menatap bayi aurora yang tengah terlelap dan tersenyum tidak kuasa melihat malaikat kecil nya yang begitu cantik mengurungkan niatnya
anger,"Ya gue tau sih, bukan grup kita yg digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan ngomong dengan enaknya di video bahan c**i? Gue ngetik aja ga nyaman. Wah gue lisa digituin aja gue semarah ini, gimana bangtan? -.-",iya saya tahu sih bukan grup kita yang diperlakukan seperti itu tetapi sesama cewek terus dibilang bahan begituan masih bisa terima dia jelas jelas public figure dan bicara dengan enaknya di video bahan coli saya ketik saja tidak nyaman wah saya lisa diperlakukan seperti itu saja saya se marah ini bagaimana bangtan
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH",ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di whatsapp kalian mencium bau gas tidak nji iya ini bau gas ini bukan gas beracun kan apa kenapa jadi takut sih
