label,tweet
happy,Tiada henti 2nya aku mengucap syukur alhamdulillah.... Sekarang aku bisa.... Uang jadi panitia kemarin alhamdulillah terima kasih kau berlimpah.... Meski tak seberapa inshaAllah lama-2 membukit aman [URL]
anger,"Kamu mau ngomong apa. Kayaknya kamu dendam kepada Anies. Pernah disakiti oleh gubernur Anies? Salah apa Anies kepadamu? Kenapa dendam? Kamu kelompok DKI 42% yang tidak punya gubernur, Anies bukan [URL] pada tempatnya kamu mencaci-caci Anies. Salah. [URL]"
sadness,Ketika di grup keluarga sudah pada membicarakan mudik. Duh pengen mudik. Tapi apadaya suami libur cuma 4 hari dari hari H lebaran. Itu juga kalau tidak dipanggil disuruh masuk. 2 tahun lalu malah habis sholat eid langsung kerja
sadness,Orang yang pernah kalah dalam pertarungan politik sulit untuk bisa disembuhkan karena mereka tidak bisa meraih impian dan sudah kehilangan banyak harta.
sadness,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana-mana, random.. Tapi pasti ada dia :("
fear,"Ada kabar kasus tuduhan percakapan mesum terhadap Imam Besar Habib Rizieq sudah dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak-bapak kita yang menyidik. Amin."
anger,"Jangan mengganggu saya lagi ya teman-teman [USERNAME] [USERNAME] [USERNAME], orang ini sudah memiliki blog-nya juga.. ..ya meskipun menulisnya tidak jam 2 dinihari sih."
anger,"Cari orang-orang yang selalu menyudutkan Ansor. Sabar itu bagus tetapi kalau terus menerus difitnah, disalahkan jangan tinggal diam. Saatnya."
love,"Haloooo selamat siang Denise. Udah pulang sekolah belum nih? Jangan lupa makan siang ya. Oh iya, gimana, udah sehat kan kamu? Kalo emang masih kurang sehat ya, banyakin istirahat aja sekarang. Kak selalu nunggu kok tweet dari kamu."
anger,"Itulah bodohmu bang, disuruh baca, tidak mau baca. PBB cikal bakalnya dari Masyumi, PBB = Keluarga Besar Bulan Bintang = Masyumi dasar bang200"
fear,Mudah-mudahan sudah terupload semua sebelum mudik karena fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiks Hitungan jam juga baru selesai kalau mau download ini di rumahku ya
anger,Orang pendukung khilafah memang harus diberi tahu [USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][USERNAME][URL]
anger,"Jangan sok akrab ya mention-mention gue, mending dulu aja yang bener. Nanti kalau udah sukses jadi malingnya, baru gue balas mentionan kalian. #SalamSatuNyaliLari #BonekJancuk [URL]"
happy,"Alhamdulillah Profesor, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin."
love,"Keren!! Kira-kira masih ada nggak yang bilang Pak [USERNAME] anti-Islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Pondok Pesantren, madrasah, Masjid dan fasilitas umat lain. Kalau ada yang masih bilang Beliau an"
anger,"[USERNAME] saya akan datang untuk bertanya, kemudian ngobrol dengan mba-mba Help desk. Tapi saya tetap tidak mengerti karena tidak mendapatkan jawaban yang menjawab pertanyaan saya. Kemudian mbanya lama-lama agak emosi, ya sudah makin tidak terjawab dong, trus saya pulang."
anger,"Sering banget gua digantungin pas ketemu Apsara lagi ""kok perawatannya makin banyak? Makin gendut aja sih"" wah senyum aja iya-iyain aja dalam hati ""bacot lu anjing"""
sadness,"Kalau sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. Kalau kebiasaan buruk mungkin sulit ya? Karena semacam sudah jadi hobi, gitu gak sih?"
fear,"berdesakan.. berjubelan, di KRL adalah salah satu godaan dalam berpuasa..... apalagi di depannya ada wanita cantik sambil mengunyah tahu gejrot... hehe.."
anger,"[USERNAME] #belanjaitugakribet ternyata cuma slogan doang. Setelah dikomplen ternyata dibatalkan sepihak. Dan nama besar itu tidak jaminan keprofesionalan ya, terus menyampaikan ke pihak official store kalau saya yang membatalkan, padahal sepesekali tidak saya batalkan."
happy,Happy birthday to us [USERNAME] and happy 6th anniversary. Bentar lagi kita putus. Huhu aku harus cari pacar baru :3 [URL]
sadness,Terus baca komennya pada bilang kalau musik itu haram. Dan bla bla. Nah disini aku tahu. Kalau fanatik kan memang ga boleh. Tapi kalau sekadar suka gitu gimana?
happy,"Rabu, 06 Juni 2018, Anak Buahku selesai menempuh pendidikan di TK Bhakti Ibu, Bakauheni. Eh, ternyata ia dapat piala juga hehe"
anger,"Saya hidup di zaman presiden hebat yaitu Soeharto. Beliau membuat aman dan tenang untuk masyarakat. Tetapi tidak tenang untuk: Kaum PKI, Kaum Rampok, Kaum Bandit, Kaum yang ingin jadi pejabat negara tapi otaknya kosong. Hanya kaum itulah yang tidak suka Bapak Soeharto. [URL]"
happy,"Bersama segenap dewan guru.. Terima kasih telah membimbing anak kami selama ini, Ibu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajar menjadi amal jariyah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]"
anger,"Gue memang cuek sih, banget-banget malah tapi kalau ada yang membuat risih atau tidak nyaman ya hati-hati saja lah pokoknya.. Jangan sampai gue ajak nongkrong bareng"
sadness,"Bagi anda yang dianugerahi gigi rapi dari lahir, bersyukurlah ! Karena pakai behel ternyata lebih sakit daripada sakit hati. #menurutguesih"
happy,"Alhamdulillah,  di RSUP Kariadi ini benar-benar diurus, jadi sudah tidak panas tinggi lagi soalnya langsung diberi Paracetamol yang botolan."
anger,"Melihat udah terlalu banyak [USERNAME] project yang jatohnya malah jadi scam dan fraud, asli gue pengen coba deh bawa mereka sama creator-creator mereka yang udah bawa kabur duit banyak orang (termasuk gue) ke ranah hukum Indonesia."
anger,"Soal Via Vallen, Gue Sepakat Sama Nikita Mirzani jangan lebay! Kalau Gak Suka Digituin, tinggal tolak dan block tu orang, jgn dishare-share jadi konsumsi publik! Kek ingin menampilkan kepolosan tak berdosa gimana gituu.. #menurutkusih"
