label,tweet
fear,Iya sih.... Cuma takut suara dia jadi rusak atau berubah gitu karena salah teknik
sadness,"Bapak Kos melihat sinetron di ruang tengah. Bule datang terus bilang ""Menangis terus, kenapa Indonesia membuat film menangis terus"" mengapa kira-kira?"
sadness,"Oh iya, ibunya melahirkan anak ketiga yaitu cewek tapi tidak tahu tahun berapa-berapa nya. Lanjut yang tadi, baru saja setahun diberi kenikmatan datang lagi ujian buat si makmak kali ini mungkin berat. Dia ditinggal suaminya meninggal. Seketika ibu itu jadi single parent."
happy,"Dulu main Telegram, niatnya melacak akun-akun pro-terorisme. Lalu coba-coba bikin channel, dan kini sudah ada 1,300 subscribers. Yang mau gabung, ayo kita berteman di sini [URL]"
anger,"[USERNAME] Buka rekening baru di Mandiri ribet, harus ada nomor telepon rumah atau kantor? Terus kalau pekerja di pasar tidak bisa menabung di Mandiri dong??"
anger,"[USERNAME] Jadi pemimpin gubernur harus pikir matang-matang menciptakan pekerjaan. Kembangkan tong sampah buatan Indonesia anti bocor dan lain-lain untuk dibeli kebutuhan dalam negeri, bukan beli impor tong sampah."
happy,"Saat kita lagi euforia gitu, si bapak bilang, 'Kalian ini, tukang bikin masalah...' pakai nada bapak-bapak yang habis marahin anaknya karena minta jajan, tapi tetap dibeliin."
sadness,"Aku rindu tadi malam sebenarnya. Tapi sinyal menghalangiku. Jadi aku lanjutkan saja siang ini. [USERNAME], aku rindu.. :("
happy,"Lalu beliau balas 'ngapain takut? Tinggal ngomong aja' Ahh :') Si bapak berlalu. Dan ku masih terkagum sampai saat ini. Beliau ngga jahat seperti yang tergambar di rangkaian tweetku sebelumnya. Beliau hanya butuh ku dan temenku ngomong. Beliau mau tahu, masalah kita tuh apa?"
anger,Nyuruh ignore tapi dia sibuk mengurusin juga haha. Sesama perempuan kok saling menjatuhkan.
sadness,@sabranglor Mungkin ada peneliti yang ingin riset mengapa di partai tertentu banyak yang terlibat korupsi... Kalau moral sih kurang lebih 11-12.. Apakah jumlah yang harus disetor ke partai terlalu besar?
happy,"[USERNAME] hehe malu banget. Contoh salah paham dalam cemburu: Gak berani duduk sebelahan ketika ada dia dan kamu. Mikirnya ""tuh kan kenapa sih gamau sebelahan, pasti biar ga dikira nempel terus sama aku"" hehehe padahal karena sebelahmu sudah ada teman yang lain."
anger,"Gabisa tidur! Malas bongkarin, tidur pakai jeans, berharap segera pagi."
fear,"@USERNAME Cuma mau menunjukkan ini, Kak.. Kalau linimasa aku yang begini kamu samakan sama mereka yang tergugah isu-isu busuk politik, dan aku bisa bilang apa lagi ~~ [URL]"
love,"@usaisenja: @SrikandiIndung Seseorang pernah bertanya padaku, seperti apa cinta itu? Cinta itu seperti, Sekepal jantungku yang tidak bisa melupakan degup Sebentuk paru-paruku yang tidak bisa meninggalkan udara Dan seperti aku yang tidak bisa kehilanganmu. #us"
sadness,"Kasihan yang sudah mengincar sekolahan pake usaha belajar dan nilai ya, sakit hati kalau nilai bagus gak apa-apa, seharusnya ada evaluasi bagi yang sakit hati tapi gak sesuai target nilai dimutasi gitu, kenapa sekolah gak pake sistem mutasi."
happy,"Teman SMA gua nih, berhubung dia lagi jomblo baru 2 hari makanya mengganggu orang. Barangkali ada yang mau kenalan. Dia bilang kemarin kalau dia mau cari pasangan yang bisa mengertiin tugasnya hehe."
