Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa di melecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang saya a dan i t a addeh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu tidak merasa dilecehkan amat, malah mau naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita Aduhh, sudah jadi korban, sesama wanita pula. Padahal normalnya harus saling dukung, saling empati.",yang menyedihkan sedang ada yang menganggap via vallen itu tidak merasa dilecehkan sangat bahkan ingin naik pamor demi mencapai keviralan dan itu diungkapkan oleh seorang wanita aduh sudah jadi korban sesama wanita pula padahal normalnya harus saling dukung saling empati
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya,"Iya nih anjing, manusia pada lebay muak gua liatnya",iya nih anjing manusia pada berlebihan muak saya liat nya
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,samanya udah maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanya sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,orang berhijab baju natal norak anjing kalian sudah mnyambut di hotel wahai intel setan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang kalian pasang di kamar kerja sama dengan hotel tahi,JILBABER BAJU NATAL NORAK & ANJING-ANJING KALIAN SUDAH MENYAMBUT DI HOTEL WAHAI INTELSETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING!! INI SAJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORANG KEMANA PUN TAEKKKK!! ALAT TEROR BANGSAT LAGI-LAGI KALIAN PASANG DI KAMAR KERJASAMA DENGAN HOTEL TAEK!,orang berhijab baju natal norak anjing anjing kalian sudah menyambut di hotel wahai intelsetan apep ahmad tardiyana urbane anjing ini saja pola ulah intel busuk kamu mengikuti orang kemana pun taek alat teror bangsat sedang sedang kalian pasang di kamar kerja sama dengan hotel tahi
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh saya dipenuhi ketidak pastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup,"Semoga besok sudah ada pengumuman baik. Ya Allah, amin. Lancarkanlah segalanya benar-benar deh. Judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian. Huhuhu, benar-benar dari berbagai aspek bisa tenang aja ga sih ini hidup.",semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh sudah dipenuhi ketidakpastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apa tek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat sama heart,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""apoteker"", ""apotek"", atau ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lebih senang kamu panggil ""sayang"", it warms my heart",kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apoteker apotek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat my heart
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,kita semua mengaturkan kesuwun yang se tinggi nya kepada pak jokowi dan kabinet dengan kinerja yang super sangat untuk kemakmuran rakyat,Kita semua mengucapkan terima kasih yang setinggi-tingginya kepada Pak Jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat.,kita semua mengucapkan terima kasih yang setinggi tingginya kepada pak jokowi dan kabinet dengan kinerja yang sangat baik untuk kemakmuran rakyat
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yang terlibat aksi penyelamatan. Benar-benar Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",berharap suatu saat nanti difilmkan seperti the judulnya the mungkin the coach kids dan semua orang yang terlibat aksi penyelamatan benar benar faith ini humanity restored terharu thaicaverescue
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakarkomunikasi neniyulianita dari ani dan teman teman akademisi selamat milad fikom_unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas,"Untuk para sahabat dan guru pakar komunikasi Neni Yulianita dari Ani dan teman-teman akademisi ""Selamat Milad FIKOM UNISBA ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",untuk para sahabat dan guru pakar komunikasi neni yulianita dari ani dan teman teman akademisi selamat milad fakultas ilmu komunikasi unisba ke semoga lulusan fakultas ilmu komunikasi unisba semakin berkualitas
