Label,Raw_tweet,Cleaned_Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",askmf tadi jam saya beraniin buat line dia duluan tetapi sampai sekarang masih takut buka line aplkasinya saya stop jadi tidak ada notif saya takut tidak dibalas
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",pernah dikirimin kue sama teman pakai jne seminggu tidak sampai terus diganti sama pihak jne nya dikirim sedang seminggu sedang sampai tetapi basi kuenya sampai nyusut setelahnya kapok tidak ingin sedang pakai jne
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,kalau saya sik memang habis kehilangan seseorang yang dekat
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,kalau dia tidak perduli kenapa kita harus memperhatikannya kalau dia tidak ingin dengar kenapa kita harus bicara kepadanya kalau dia memutuskan untuk pergi kenapa kita harus bertahan mengikutinya tidak perlu mencari jawaban nya karena kamu hanya perlu menghilangkan kalau kenapa
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apa tek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat sama heart
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",giliran ke lantai produksi mastiin dan menanyakan langsung apa yang mereka tulis bahkan diganggu dimintain foto yaampun mas mas pusing saya ingin cepat selesai terus balik jogja bahkan begini mmbbz
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,yaampun asli deh tidak sedang minum kopi malam malam alhasil tidak bisa tidur sampai jam pagi terus jam sudah kebangun sedang dan tidak bisa merem sedang sampai sekarang padahal mata berat tetapi tidak bisa di ajak merem jug
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",ada pernah yang bahas tentang tinder dan sewaktu itu tidak paham karena penasaran unduh lah eh pas sudah unduh dalam hati bilang ini aplikasi apaan menyesal langsung unduh tanpa baca deskripsi mungkin itu asik buat sebagian orang lain tetapi tidak buat aku
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",tetapi angin an sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mbl yang pas parkir di situ terus ditindak kitu sanes
sadness,"Gegara td malem treak treak gemash ngliat indo kalah 2-1 sm thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yg nonton td mlm ngacung coba? Kalean tim mana nih?",untuk beberapa waktu biarlah kita bekerja sebagai bawahan kelak kita bangun usaha sendiri jadi pengelola nya sendiri jadi bosnya sendiri jadi petani yang selalu bangga dengan usaha sendiri nonelse
